hindi_phrase,english_translation
आभूषण,Jewelry
वस्त्र,Clothing
परंपरागत,Traditional
आधुनिक,Modern
संचरण,Transmission
शिक्षण,Teaching
ज्ञान संचरण,Knowledge transfer
पीढ़ी दर पीढ़ी,Generation to generation
कहानी खत्म,Story ends
अंत,End
निष्कर्ष,Conclusion
संदेश,Message
स्मृति,Memory
चिरंतन,Eternal
अमर,Immortal
मरणशील,Mortal
जीवन,Life
मृत्यु,Death
पुनर्जन्म,Rebirth
आत्मा,Soul
शरीर,Body
मन,Mind
विचार,Thought
भावना,Feeling
आत्मचिंतन,Reflection
विश्लेषण,Analysis
समझ,Understanding
प्राप्ति,Achievement
परिणाम,Result
प्रभाव,Impact
प्रेरणा,Inspiration
आशीर्वाद,Blessing
शुभकामनाएँ,Good wishes
पुनः मिलना,Meet again
विदा,Goodbye
नमस्कार,Farewell
तुम कहाँ हो,Where are you
तुम क्या करते हो,What do you do
तुम्हारा नाम क्या है,What is your name
तुम कहाँ से हो,Where are you from
तुम्हें क्या पसंद है,What do you like
तुम्हें क्या नापसंद है,What don't you like
तुमने क्या देखा,What did you see
तुमने क्या सुना,What did you hear
यह कैसा लगा,How did it feel
क्या तुम सहमत हो,Do you agree
क्या तुम समझे,Do you understand
तुम्हें क्या लगता है,What do you think
क्या यह सच है,Is it true
क्या यह संभव है,Is it possible
तुमने कब सीखा,When did you learn
तुमने कहाँ सीखा,Where did you learn
तुम किसे मानते हो,Whom do you respect
तुम्हारा सपना क्या है,What is your dream
तुम भविष्य में क्या करोगे,What will you do
क्या तुम डरते हो,Are you afraid
क्या तुम्हें आशा है,Do you have hope
तुम किससे प्रेम करते हो,Whom do you love
यह कहानी तुम्हें कैसी लगी,How did you like this story
सत्य बोलो,Speak truth
न्याय करो,Be just
दया करो,Be merciful
कर्तव्य निभाओ,Fulfill duty
समय का मूल्य,Value of time
जीवन कीमती है,Life is precious
ज्ञान शक्ति है,Knowledge is power
शिक्षा महत्वपूर्ण है,Education is important
परिश्रम सफलता की कुंजी,Hard work is key
धैर्य रखो,Be patient
आशा न छोड़ो,Don't lose hope
दूसरों की मदद करो,Help others
अहंकार न करो,Don't be arrogant
विनम्र रहो,Be humble
क्षमाशील बनो,Be forgiving
ईमानदारी जीवन की नीव है,Honesty is foundation
गरिमा की रक्षा करो,Protect dignity
परंपरा को सम्मान दो,Respect tradition
भविष्य को देखो,Look to future
अतीत से सीखो,Learn from past
अन्याय का विरोध करो,Oppose injustice
अपने अधिकार जानो,Know your rights
अपनी जिम्मेदारी समझो,Understand your responsibility
समाज के लिए काम करो,Work for society
प्रकृति की देखभाल करो,Care for nature
संस्कृति को जीवित रखो,Keep culture alive
भाषा को संरक्षित रखो,Preserve language
अगली पीढ़ी के लिए सोचो,Think of next generation
