hindi_phrase,english_translation,sanskrit_translation,category
हर साल,Every year,प्रतिवर्षम्,Time
कभी कभी,Sometimes,कदाचित्‌,Time
हमेशा,Always,सर्वदा,Time
कभी नहीं,Never,कदापि न,Time
लाल,Red,रक्त,Colors
नीला,Blue,नील,Colors
पीला,Yellow,पीतं,Colors
हरा,Green,हरित,Colors
काला,Black,कृष्णः,Colors
सफेद,White,श्वेतः,Colors
गुलाबी,Pink,पाटल,Colors
नारंगी,Orange color,नारङ्गवर्णः,Colors
बैंगनी,Purple,शोण,Colors
भूरा,Brown,पिङ्गल,Colors
सुनहरा,Golden,स्वर्णम्,Colors
चाँदी जैसा,Silver,रजत,Colors
गहरा रंग,Dark color,कृष्णवर्णः,Colors
हल्का रंग,Light color,लघुवर्णः,Colors
रंग बिरंगा,Colorful,रङ्गिणी,Colors
सिर,Head,शिरः,Body
बाल,Hair,केशः,Body
आँख,Eye,नेत्र,Body
कान,Ear,कर्ण,Body
नाक,Nose,नासिका,Body
मुँह,Mouth,मुख,Body
दाँत,Teeth,दंत,Body
जीभ,Tongue,जिह्वा,Body
गला,Throat,कण्ठ,Body
गर्दन,Neck,ग्रीवा,Body
कंधा,Shoulder,स्कन्ध,Body
हाथ,Hand,हस्त,Body
उँगली,Finger,अङ्गुली,Body
पेट,Stomach,उदर,Body
पीठ,Back,पृष्ठभागः,Body
पैर,Leg,टङ्का,Body
घुटना,Knee,जानुक,Body
दिल,Heart,हृदयम्‌,Body
दिमाग,Brain,मस्तिष्क,Body
खून,Blood,रक्त,Body
हड्डी,Bone,अस्थि,Body
त्वचा,Skin,चर्म,Body
आवाज़,Voice,ध्वनि,Body
साँस,Breath,श्वशन,Body
मुस्कान,Smile,स्मितः,Body
माता,Mother,माता,Family
पिता,Father,पिता,Family
माँ,Mom,माता,Family
पापा,Dad,पिता,Family
भाई,Brother,भ्राता,Family
बहन,Sister,भगिनी,Family
बड़ा भाई,Elder brother,अग्रजः,Family
छोटी बहन,Younger sister,अनुज भगिनी,Family
दादा,Grandfather,पितामहः,Family
दादी,Grandmother,पितामही,Family
नाना,Maternal grandfather,मातृपितामहः,Family
नानी,Maternal grandmother,मातृपितामही,Family
बेटा,Son,पुत्रः,Family
बेटी,Daughter,पुत्री,Family
पति,Husband,भर्ता,Family
पत्नी,Wife,भार्या,Family
चाचा,Paternal uncle,पितृक मामा,Family
चाची,Paternal aunt,पितृक माकी,Family
मामा,Maternal uncle,मातुलः,Family
मामी,Maternal aunt,मातृका माकी,Family
भतीजा,Nephew,भ्रातृ सूतः,Family
भतीजी,Niece,भातृजा,Family
पोता,Grandson,पौत्रः,Family
पोती,Granddaughter,पौत्री,Family
परिवार,Family,परिवारं,Family
रिश्तेदार,Relatives,संबंधीजनाः,Family
पड़ोसी,Neighbor,प्रतिवेशी,Family
दोस्त,Friend,मित्रम्,Family
सबसे अच्छा दोस्त,Best friend,परम मित्रम्,Family
मेहमान,Guest,अतिथि,Family
कुत्ता,Dog,कुक्कुरः,Animals
बिल्ली,Cat,मार्जारः,Animals
गाय,Cow,गो,Animals
भैंस,Buffalo,महिषः,Animals
बकरी,Goat,अजा,Animals
भेड़,Sheep,मेष,Animals
घोड़ा,Horse,घोटकः,Animals
हाथी,Elephant,गज,Animals
शेर,Lion,सिंहः,Animals
बाघ,Tiger,व्याघ्रः,Animals
बंदर,Monkey,वानरः,Animals
भालू,Bear,भल्लूकः,Animals
हिरण,Deer,मृग,Animals
लोमड़ी,Fox,लोमशा,Animals
खरगोश,Rabbit,शशकः,Animals
चूहा,Mouse,मूषकः,Animals
साँप,Snake,सर्प,Animals
मछली,Fish,मीन,Animals
पक्षी,Bird,पक्षी,Animals
कौआ,Crow,काक,Animals
तोता,Parrot,शुकः,Animals
मोर,Peacock,मयूरः,Animals
कबूतर,Pigeon,कपोतः,Animals
मुर्गी,Hen,कुक्कुटः,Animals
बत्तख,Duck,कादम्ब,Animals
उल्लू,Owl,उलूक,Animals
तितली,Butterfly,चित्रपतङ्ग,Animals
मधुमक्खी,Honeybee,मधुमक्षिका,Animals
चींटी,Ant,अन्त,Animals
मकड़ी,Spider,मकड़ी,Animals
मेंढक,Frog,मंडूक,Animals
कछुआ,Turtle,कच्छप,Animals
ऊँट,Camel,उष्ट्रः,Animals
गधा,Donkey,गर्दभ,Animals
जानवर,Animal,पशु,Animals
खाना,Food,आहारः,Food
पानी,Water,जलम्‌,Food
दूध,Milk,दुग्धं,Food
चाय,Tea,चाय,Food
कॉफी,Coffee,काफी,Food
रोटी,Bread,रोटिका,Food
चावल,Rice,तांडुलः,Food
दाल,Lentils,मसूरम्,Food
सब्जी,Vegetable,तरकारी,Food
फल,Fruit,फलं,Food
आम,Mango,आम,Food
केला,Banana,कदल,Food
सेब,Apple,सेवफल,Food
संतरा,Orange fruit,नारङ्गफलम्,Food
अंगूर,Grapes,द्राक्षा,Food
अनार,Pomegranate,दाडिमम्,Food
नारियल,Coconut,नारिकेलः,Food
आलू,Potato,आलूः,Food
प्याज,Onion,पलाण्डु,Food
टमाटर,Tomato,रक्तफल,Food
गाजर,Carrot,गार्जर,Food
पालक,Spinach,पालकं,Food
मिर्च,Chili,मरिचम्,Food
नमक,Salt,लवणं,Food
चीनी,Sugar,मधुरं,Food
घी,Clarified butter,स्पष्टं घृतम्,Food
तेल,Oil,तेलं,Food
मसाला,Spices,मसालाः,Food
अदरक,Ginger,आर्द्रक,Food
लहसुन,Garlic,लशुन,Food
हल्दी,Turmeric,हरिद्रा,Food
शहद,Honey,मधु,Food
दही,Yogurt,दही,Food
मक्खन,Butter,नवनीत,Food
अंडा,Egg,अंड,Food
मिठाई,Sweets,मिष्टान्नम्,Food
लड्डू,Laddu,लड्डू,Food
खीर,Rice pudding,तण्डुलपुडिंग,Food
नाश्ता,Breakfast,अल्पाहार,Food
दोपहर का खाना,Lunch,मध्याह्नभोजनम्‌,Food
रात का खाना,Dinner,रात्रिभोजनम्‌,Food
भूख लगी है,I am hungry,अहं क्षुधार्तः अस्मि,Food
प्यास लगी है,I am thirsty,अहं तृषितः अस्मि,Food
खाना बहुत स्वादिष्ट है,The food is delicious,भोजनं स्वादिष्टम् अस्ति,Food
खाना पकाना,To cook food,भोजनं पाकं कर्तुं,Food
आकाश,Sky,गगनः,Nature
बादल,Cloud,मेघ,Nature
बारिश,Rain,वृष्टि,Nature
तूफान,Storm,चण्डवात,Nature
बिजली,Lightning,गाज,Nature
गरज,Thunder,गर्जन,Nature
इंद्रधनुष,Rainbow,इन्द्रधनुषः,Nature
हवा,Wind,वायुः,Nature
गर्मी,Heat,उष्णता,Nature
ठंड,Cold,शैत्यम्‌,Nature
बर्फ,Snow,तुषार,Nature
कोहरा,Fog,धूमिका,Nature
धूप,Sunlight,सूर्यप्रकाशः,Nature
छाया,Shadow,छाया,Nature
सूरज,Sun,सूर्य,Nature
चाँद,Moon,शशांक,Nature
तारे,Stars,तारा,Nature
धरती,Earth,पृथ्वी,Nature
आग,Fire,अग्निः,Nature
मिट्टी,Soil,मृदा,Nature
नदी,River,नदी,Nature
झरना,Waterfall,जलप्रपातः,Nature
तालाब,Pond,जलाशय,Nature
झील,Lake,सरोवरः,Nature
समुद्र,Ocean,समुद्रं,Nature
लहर,Wave,तरंगं,Nature
किनारा,Shore,तट,Nature
रेत,Sand,वालुका,Nature
पत्थर,Stone,प्रस्तरं,Nature
पहाड़,Mountain,पर्वत,Nature
घाटी,Valley,घाटी,Nature
गुफा,Cave,गुहा,Nature
जंगल,Forest,वनः,Nature
पेड़,Tree,वृक्षः,Nature
पत्ता,Leaf,पर्ण,Nature
जड़,Root,मूलं,Nature
डाल,Branch,शाखा,Nature
फूल,Flower,पुष्पं,Nature
कमल,Lotus,कमलम्,Nature
गुलाब,Rose,रोज,Nature
गेंदा,Marigold,मरीगोल्ड्,Nature
चमेली,Jasmine,चमेली,Nature
घास,Grass,तृणं,Nature
बीज,Seed,बीज,Nature
खेत,Field,क्षेत्रम्‌,Nature
फसल,Crop,अन्नग्रह,Nature
गेहूँ,Wheat,गोधूम,Nature
धान,Paddy,धानम्,Nature
प्रकृति,Nature,प्रकृति,Nature
घर,House,गृहम्‌,Places
गाँव,Village,ग्राम,Places
शहर,City,नगरी,Places
देश,Country,देशः,Places
भारत,India,भारत,Places
मुंबई,Mumbai,मुम्बई,Places
सड़क,Road,मार्गं,Places
गली,Lane,लेन,Places
बाज़ार,Market,विपणि,Places
दुकान,Shop,आपण,Places
स्कूल,School,विद्यालयः,Places
कॉलेज,College,महाविद्यालयं,Places
पुस्तकालय,Library,पुस्तकालय,Places
अस्पताल,Hospital,चिकित्सालय,Places
मंदिर,Temple,मंदिर,Places
मस्जिद,Mosque,मस्जिद,Places
गिरजाघर,Church,चर्च,Places
गुरुद्वारा,Gurudwara,गुरुद्वारा,Places
स्टेशन,Station,स्थानः,Places
हवाई अड्डा,Airport,वायुपत्तनं,Places
पुल,Bridge,सेतु,Places
बगीचा,Garden,उद्यान,Places
मैदान,Playground,क्रीडाङ्गणम्,Places
कुआँ,Well,कूपः,Places
आँगन,Courtyard,प्राङ्गणम्,Places
रसोई,Kitchen,पाकशाला,Places
कमरा,Room,कक्ष,Places
दरवाज़ा,Door,द्वारम्,Places
खिड़की,Window,कोष्ठ,Places
छत,Roof,छाद,Places
दीवार,Wall,भित्ति,Places
सीढ़ी,Stairs,चरणाः,Places
संग्रहालय,Museum,संग्रहालय,Places
किला,Fort,दुर्गः,Places
महल,Palace,प्रासादः,Places
बिस्तर,Bed,शय्या,Daily Life
कुर्सी,Chair,आसन्द,Daily Life
मेज़,Table,पीठिका,Daily Life
दीपक,Lamp,दीपकः,Daily Life
लालटेन,Lantern,लालटेन,Daily Life
पीतल की लालटेन,Brass lantern,पीतले लालटेन,Daily Life
मोमबत्ती,Candle,मोमबत्ती,Daily Life
दर्पण,Mirror,दर्पण,Daily Life
घड़ी,Clock,घटिका,Daily Life
चाबी,Key,कुंजी,Daily Life
ताला,Lock,ताल,Daily Life
थैला,Bag,भ्रस्ता,Daily Life
बर्तन,Utensils,पात्रम्,Daily Life
मटका,Clay pot,मृत्तिका घटः,Daily Life
थाली,Plate,स्थालिका,Daily Life
कटोरी,Bowl,पाल,Daily Life
गिलास,Glass,चषक,Daily Life
चम्मच,Spoon,चमस,Daily Life
चूल्हा,Stove,चुल्लिका,Daily Life
झाड़ू,Broom,ऊहनी,Daily Life
रस्सी,Rope,रज्जु,Daily Life
टोकरी,Basket,टोकरी,Daily Life
कपड़े,Clothes,वस्त्राणि,Daily Life
साड़ी,Saree,साड़ी,Daily Life
कुर्ता,Kurta,कुर्ता,Daily Life
धोती,Dhoti,धोती,Daily Life
दुपट्टा,Scarf,उत्तरीय,Daily Life
जूते,Shoes,पादत्र,Daily Life
चप्पल,Slippers,चप्पलम्,Daily Life
टोपी,Hat,हत्,Daily Life
चश्मा,Spectacles,चश्मा,Daily Life
छाता,Umbrella,छात्र,Daily Life
गहने,Jewelry,कर्णाभरन,Daily Life
चूड़ी,Bangle,चूड़ी,Daily Life
अंगूठी,Ring,वर्तुल,Daily Life
हार,Necklace,कर्णहार,Daily Life
किताब,Book,पुस्तकम्‌,Daily Life
कलम,Pen,लेखनी,Daily Life
पेंसिल,Pencil,अङ्कनी,Daily Life
कागज़,Paper,पत्रं,Daily Life
चिट्ठी,Letter,पत्रम्,Daily Life
तस्वीर,Photo,चित्रं,Daily Life
खिलौना,Toy,खिलौना,Daily Life
गेंद,Ball,कन्दुक,Daily Life
पतंग,Kite,पतंगं,Daily Life
साइकिल,Bicycle,द्विचक्रिका,Daily Life
गाड़ी,Car,कारयानम्‌,Daily Life
बस,Bus,बस,Daily Life
रेलगाड़ी,Train,रेलयानम्‌,Daily Life
नाव,Boat,नौका,Daily Life
पैसा,Money,मुद्रा,Daily Life
काम,Work,कार्यम्‌,Daily Life
आराम,Rest,विश्रान्तिः,Daily Life
नींद,Sleep,शयनं करोतु,Daily Life
सपना,Dream,स्वप्न,Daily Life
किसान,Farmer,कृषक,Professions
शिक्षक,Teacher,अध्यापकः,Professions
डॉक्टर,Doctor,चिकितसिक,Professions
नर्स,Nurse,उपचर,Professions
इंजीनियर,Engineer,अभियंता,Professions
वैज्ञानिक,Scientist,वैज्ञानिकाः,Professions
छात्र,Student,विद्यार्थी,Professions
लेखक,Writer,लेखकः,Professions
कवि,Poet,कवि,Professions
गायक,Singer,गायकः,Professions
नर्तक,Dancer,नर्तकी,Professions
कलाकार,Artist,कलाकार,Professions
चित्रकार,Painter,चित्रकार,Professions
संगीतकार,Musician,संगीतकार,Professions
कहानीकार,Storyteller,कथाकार,Professions
बढ़ई,Carpenter,तक्षक,Professions
लोहार,Blacksmith,लोहारः,Professions
कुम्हार,Potter,कुम्भकारः,Professions
बुनकर,Weaver,बुनकर,Professions
दर्जी,Tailor,दर्जी,Professions
मछुआरा,Fisherman,मत्स्यजीवी,Professions
चरवाहा,Shepherd,गोपालकः,Professions
व्यापारी,Merchant,वणिक्‌,Professions
दुकानदार,Shopkeeper,दुकानदार,Professions
रसोइया,Cook,पचति,Professions
माली,Gardener,माली,Professions
सिपाही,Soldier,भट,Professions
राजा,King,राजा,Professions
रानी,Queen,राज्ञी,Professions
संत,Saint,संत,Professions
पुजारी,Priest,पुरोहित,Professions
विद्वान,Scholar,विद्वान,Professions
नेता,Leader,नेता,Professions
खिलाड़ी,Player,खिलाडी,Professions
आना,To come,आगन्तुम्,Actions
जाना,To go,गन्तुं,Actions
खाना खाना,To eat,खादितुम्,Actions
पीना,To drink,पिबितुं,Actions
सोना,To sleep,निद्रां कर्तुं,Actions
जागना,To wake up,जागरणार्थम्,Actions
उठना,To get up,उत्थाय,Actions
बैठना,To sit,उपविष्टुं,Actions
खड़ा होना,To stand,स्थातुं,Actions
चलना,To walk,चलितुं,Actions
दौड़ना,To run,धावितुं,Actions
रुकना,To stop,निवर्तयितुं,Actions
कूदना,To jump,कूर्दितुं,Actions
तैरना,To swim,तरितुं,Actions
उड़ना,To fly,उड्डीयन्ते इति,Actions
गिरना,To fall,पतनम्,Actions
देखना,To see,द्रष्टुं,Actions
सुनना,To listen,श्रोतुं,Actions
बोलना,To speak,वक्तुं,Actions
कहना,To say,वक्तुं,Actions
पूछना,To ask,पृच्छितुं,Actions
बताना,To tell,कथयितुं,Actions
पढ़ना,To read,पठितुं,Actions
लिखना,To write,लेखनार्थम्,Actions
सीखना,To learn,शिक्षितुं,Actions
सिखाना,To teach,पाठयितुं,Actions
समझना,To understand,अवगन्तुम्,Actions
सोचना,To think,चिन्तयितुं,Actions
जानना,To know,ज्ञातुं,Actions
भूलना,To forget,विस्मरणार्थम्,Actions
याद रखना,To remember,स्मरणार्थम्,Actions
खोजना,To search,अन्वेषणार्थम्,Actions
पाना,To find,अन्वेष्टुं,Actions
खोना,To lose,हानिम्,Actions
देना,To give,दातुं,Actions
लेना,To take,ग्रहीतुं,Actions
रखना,To keep,स्थापयितुं,Actions
उठाना,To lift,उत्थापयितुं,Actions
खोलना,To open,उद्घाटयितुं,Actions
बंद करना,To close,निमीलितुं,Actions
बनाना,To make,कर्तुं,Actions
तोड़ना,To break,भङ्गं कर्तुं,Actions
जोड़ना,To join,सम्मिलितुं,Actions
काटना,To cut,छिन्दितुं,Actions
सिलना,To sew,सिवितुं,Actions
धोना,To wash,प्रक्षालितुं,Actions
साफ करना,To clean,स्वच्छं कर्तुं,Actions
पकाना,To cook,पाकं कर्तुं,Actions
गाना गाना,To sing,गायितुं,Actions
नाचना,To dance,नृत्यं कर्तुं,Actions
बजाना,To play music,सङ्गीतं वादयितुं,Actions
खेलना,To play,क्रीडितुं,Actions
हँसना,To laugh,हसितुं,Actions
रोना,To cry,रोदितुम्,Actions
मुस्कुराना,To smile,स्मितं कर्तुं,Actions
प्यार करना,To love,प्रेम्णा,Actions
मदद करना,To help,साहाय्यं कर्तुं,Actions
इंतज़ार करना,To wait,प्रतीक्षां कर्तुं,Actions
मिलना,To meet,मिलितुं,Actions
बुलाना,To call,आह्वानं कर्तुं,Actions
भेजना,To send,प्रेषयितुं,Actions
लाना,To bring,आनयितुं,Actions
ले जाना,To carry away,अपहरणं कर्तुं,Actions
खरीदना,To buy,क्रेतुं,Actions
बेचना,To sell,विक्रयणार्थम्,Actions
जीतना,To win,विजयाय,Actions
हारना,To lose a game,क्रीडां हातुं,Actions
शुरू करना,To begin,आरम्भार्थम्,Actions
खत्म करना,To finish,समाप्तुं,Actions
कोशिश करना,To try,प्रयासं कर्तुं,Actions
बदलना,To change,परिवर्तनार्थम्,Actions
बढ़ना,To grow,वर्धयितुं,Actions
जीना,To live,जीवितुं,Actions
बचाना,To save,रक्षितुं,Actions
रक्षा करना,To protect,रक्षणार्थम्,Actions
बड़ा,Big,विशालः,Describing
छोटा,Small,लघु,Describing
लंबा,Tall,उन्नतः,Describing
नाटा,Short,वामनः,Describing
मोटा,Fat,स्थूलः,Describing
पतला,Thin,कृशः,Describing
नया,New,नूतनम्‌,Describing
पुराना,Old thing,पुरातनं वस्तु,Describing
जवान,Young,युवा,Describing
बूढ़ा,Old person,वृद्धः व्यक्तिः,Describing
अच्छा,Good,शोभन,Describing
बुरा,Bad,असमीचीनः,Describing
सुंदर,Beautiful,सुन्दरम्‌,Describing
बदसूरत,Ugly,कुरूपः,Describing
तेज़,Fast,उपवासः,Describing
धीमा,Slow,मन्द,Describing
गरम,Hot,उष्णः,Describing
ठंडा,Cold thing,शीतं वस्तु,Describing
मीठा,Sweet,मधुरम्‌,Describing
कड़वा,Bitter,तिक्त,Describing
खट्टा,Sour,अम्ल,Describing
तीखा,Spicy,अवलेह,Describing
नरम,Soft,मृदु,Describing
कठोर,Hard,रूक्षः,Describing
हल्का,Light weight,लघु भार,Describing
भारी,Heavy,भारयुक्तम्‌,Describing
साफ,Clean,स्वच्छम्‌,Describing
गंदा,Dirty,मलिनम्‌,Describing
गीला,Wet,आर्द्रम्‌,Describing
सूखा,Dry,शुष्कः,Describing
खाली,Empty,रिक्तम्‌,Describing
पास,Near,समीपः,Describing
दूर,Far,दूरम्‌,Describing
ऊँचा,High,उच्चैः,Describing
नीचा,Low,न्यूनम्‌,Describing
गहरा,Deep,अधः,Describing
चौड़ा,Wide,विस्तृतः,Describing
सस्ता,Cheap,अल्पमूल्यम्‌,Describing
महँगा,Expensive,बहुमूल्यम्‌,Describing
आसान,Easy,सरलम्‌,Describing
मुश्किल,Difficult,कठिनम्‌,Describing
सही,Correct,उचितं,Describing
गलत,Wrong,दोषपूर्णः,Describing
अमीर,Rich,धनिकः,Describing
गरीब,Poor,निर्धनः,Describing
बहादुर,Brave,वीरः,Describing
डरपोक,Cowardly,कायरः,Describing
बुद्धिमान,Intelligent,चतुरः,Describing
समझदार,Wise,पण्डितः,Describing
ईमानदार,Honest,सत्यरतः,Describing
दयालु,Kind,दयालु,Describing
शांत,Quiet,शांतिम्,Describing
व्यस्त,Busy,व्यस्तः,Describing
खास,Special,विशेषः,Describing
अनोखा,Unique,अद्वितीयः,Describing
मशहूर,Famous,प्रसिद्धः,Describing
जरूरी,Important,महत्वपूर्णः,Describing
खुश,Happy,प्रसन्नः,Emotions
दुखी,Sad,सद्,Emotions
गुस्सा,Angry,क्रुद्धः,Emotions
डर,Fear,भयम्‌,Emotions
साहस,Courage,साहस,Emotions
आशा,Hope,आशा,Emotions
निराशा,Despair,निराशा,Emotions
गर्व,Pride,अभिमानः,Emotions
शर्म,Shame,लज्जा,Emotions
प्रेम,Love,स्नेहः,Emotions
नफरत,Hatred,द्वेषः,Emotions
ईर्ष्या,Jealousy,ईर्ष्या,Emotions
संतोष,Satisfaction,संतुष्टि,Emotions
शांति,Peace,शान्तिः,Emotions
चिंता,Worry,चिंता,Emotions
राहत,Relief,उपशम्,Emotions
दर्द,Pain,पीडा,Emotions
आनंद,Joy,आनंदं,Emotions
मज़ा,Fun,परिहासः,Emotions
हैरानी,Surprise,आश्चर्य,Emotions
अकेलापन,Loneliness,एकान्तता,Emotions
याद,Memory of someone,कस्यचित् स्मृतिः,Emotions
पछतावा,Regret,खेदः,Emotions
क्षमा,Forgiveness,क्षमा,Emotions
कृतज्ञता,Gratitude,कृतवेदित्व,Emotions
विश्वास,Trust,न्यासः,Emotions
उत्साह,Enthusiasm,उत्साह,Emotions
धैर्य,Patience,सहिष्णुता,Emotions
करुणा,Compassion,करुणा,Emotions
ममता,Motherly love,मातृप्रेम,Emotions
भाषा,Language,भाषा,Language
मातृभाषा,Mother tongue,मातृभाषा,Language
बोली,Dialect,बोली,Language
शब्द,Word,शब्दः,Language
वाक्य,Sentence,वाक्य,Language
अर्थ,Meaning,अर्थ,Language
व्याकरण,Grammar,व्याकरणम्,Language
उच्चारण,Pronunciation,उच्चारणं,Language
लिपि,Script,प्रलेखन,Language
देवनागरी,Devanagari,देवनागरी,Language
अक्षर,Letter of alphabet,वर्णमाला का अक्षर,Language
स्वर,Vowel,स्वरः,Language
व्यंजन,Consonant,विसर्गः,Language
अनुवाद,Translation,अनुवाद,Language
कविता,Poem,काव्य,Language
दोहा,Couplet,दम्पती,Language
कहावत,Proverb,सुभाषितम्,Language
मुहावरा,Idiom,मुहावरे,Language
पहेली,Riddle,पहेली,Language
गीत,Song,गीतं,Language
लोकगीत,Folk song,लोकगीत,Language
लोरी,Lullaby,लोरी,Language
संगीत,Music,संगीतं,Language
ढोलक,Drum,ढोल,Language
बाँसुरी,Flute,बांसुरी,Language
तबला,Tabla,तबला,Language
नृत्य,Dance form,नृत्यरूपम्,Language
कहानी,Story,कथा,Language
लोककथा,Folktale,लोककथा,Language
परी कथा,Fairy tale,परिकथा,Language
महाकाव्य,Epic,गाथा,Language
रामायण,Ramayana,रामायणः,Language
महाभारत,Mahabharata,महाभारत,Language
पंचतंत्र,Panchatantra,पञ्चतन्त्रम्,Language
परंपरा,Tradition,परंपरा,Language
संस्कृति,Culture,संस्कृति,Language
विरासत,Heritage,परम्परा,Language
रीति रिवाज,Customs,परंपरा,Language
त्योहार,Festival,पर्वं,Language
दीवाली,Diwali,दिवाली,Language
होली,Holi,होली,Language
मेला,Fair,उचितः,Language
पूजा,Worship,पूज़्,Language
आरती,Aarti,आरती,Language
प्रार्थना,Prayer,प्रार्थना,Language
