hindi_phrase,english_translation,sanskrit_translation,tamil_translation,category
कभी नहीं,Never,कदापि न,ஒருபோதும் இல்லை,Time
लाल,Red,रक्त,சிவப்பு,Colors
नीला,Blue,नील,நீலம்,Colors
पीला,Yellow,पीतं,மஞ்சள்,Colors
हरा,Green,हरित,பச்சை,Colors
काला,Black,कृष्णः,கருப்பு,Colors
सफेद,White,श्वेतः,வெள்ளை,Colors
गुलाबी,Pink,पाटल,இளஞ்சிவப்பு,Colors
नारंगी,Orange color,नारङ्गवर्णः,ஆரஞ்சு நிறம்,Colors
बैंगनी,Purple,शोण,ஊதா,Colors
भूरा,Brown,पिङ्गल,பழுப்பு,Colors
सुनहरा,Golden,स्वर्णम्,தங்கம்,Colors
चाँदी जैसा,Silver,रजत,வெள்ளி,Colors
गहरा रंग,Dark color,कृष्णवर्णः,அடர் நிறம்,Colors
हल्का रंग,Light color,लघुवर्णः,வெளிர் நிறம்,Colors
रंग बिरंगा,Colorful,रङ्गिणी,வண்ணமயமான,Colors
सिर,Head,शिरः,தலை,Body
बाल,Hair,केशः,முடி,Body
आँख,Eye,नेत्र,கண்,Body
कान,Ear,कर्ण,காது,Body
नाक,Nose,नासिका,மூக்கு,Body
मुँह,Mouth,मुख,வாய்,Body
दाँत,Teeth,दंत,பற்கள்,Body
जीभ,Tongue,जिह्वा,நாக்கு,Body
गला,Throat,कण्ठ,தொண்டை,Body
गर्दन,Neck,ग्रीवा,கழுத்து,Body
कंधा,Shoulder,स्कन्ध,தோள்பட்டை,Body
हाथ,Hand,हस्त,கை,Body
उँगली,Finger,अङ्गुली,விரல்,Body
पेट,Stomach,उदर,வயிறு,Body
पीठ,Back,पृष्ठभागः,மீண்டும்,Body
पैर,Leg,टङ्का,கால்,Body
घुटना,Knee,जानुक,முழங்கால்,Body
दिल,Heart,हृदयम्‌,இதயம்,Body
दिमाग,Brain,मस्तिष्क,மூளை,Body
खून,Blood,रक्त,இரத்தம்,Body
हड्डी,Bone,अस्थि,எலும்பு,Body
त्वचा,Skin,चर्म,தோல்,Body
आवाज़,Voice,ध्वनि,குரல்,Body
साँस,Breath,श्वशन,மூச்சு,Body
मुस्कान,Smile,स्मितः,புன்னகை,Body
माता,Mother,माता,அம்மா,Family
पिता,Father,पिता,அப்பா,Family
माँ,Mom,माता,அம்மா,Family
पापा,Dad,पिता,அப்பா,Family
भाई,Brother,भ्राता,அண்ணன்,Family
बहन,Sister,भगिनी,சகோதரி,Family
बड़ा भाई,Elder brother,अग्रजः,மூத்த சகோதரர்,Family
छोटी बहन,Younger sister,अनुज भगिनी,இளைய சகோதரி,Family
दादा,Grandfather,पितामहः,தாத்தா,Family
दादी,Grandmother,पितामही,பாட்டி,Family
नाना,Maternal grandfather,मातृपितामहः,தாய்வழி தாத்தா,Family
नानी,Maternal grandmother,मातृपितामही,தாய்வழி பாட்டி,Family
बेटा,Son,पुत्रः,மகன்,Family
बेटी,Daughter,पुत्री,மகள்,Family
पति,Husband,भर्ता,கணவன்,Family
पत्नी,Wife,भार्या,மனைவி,Family
चाचा,Paternal uncle,पितृक मामा,பாட்டன் மாமா,Family
चाची,Paternal aunt,पितृक माकी,தந்தைவழி அத்தை,Family
मामा,Maternal uncle,मातुलः,தாய்வழி மாமன்,Family
मामी,Maternal aunt,मातृका माकी,தாய்வழி அத்தை,Family
भतीजा,Nephew,भ्रातृ सूतः,மருமகன்,Family
भतीजी,Niece,भातृजा,மருமகள்,Family
पोता,Grandson,पौत्रः,பேரன்,Family
पोती,Granddaughter,पौत्री,பேத்தி,Family
परिवार,Family,परिवारं,குடும்பம்,Family
रिश्तेदार,Relatives,संबंधीजनाः,உறவினர்கள்,Family
पड़ोसी,Neighbor,प्रतिवेशी,பக்கத்து வீட்டுக்காரர்,Family
दोस्त,Friend,मित्रम्,நண்பர்,Family
सबसे अच्छा दोस्त,Best friend,परम मित्रम्,சிறந்த நண்பர்,Family
मेहमान,Guest,अतिथि,விருந்தினர்,Family
कुत्ता,Dog,कुक्कुरः,நாய்,Animals
बिल्ली,Cat,मार्जारः,பூனை,Animals
गाय,Cow,गो,பசு,Animals
भैंस,Buffalo,महिषः,எருமை,Animals
बकरी,Goat,अजा,ஆடு,Animals
भेड़,Sheep,मेष,ஆடு,Animals
घोड़ा,Horse,घोटकः,குதிரை,Animals
हाथी,Elephant,गज,யானை,Animals
शेर,Lion,सिंहः,சிங்கம்,Animals
बाघ,Tiger,व्याघ्रः,புலி,Animals
बंदर,Monkey,वानरः,குரங்கு,Animals
भालू,Bear,भल्लूकः,கரடி,Animals
हिरण,Deer,मृग,மான்,Animals
लोमड़ी,Fox,लोमशा,நரி,Animals
खरगोश,Rabbit,शशकः,முயல்,Animals
चूहा,Mouse,मूषकः,சுட்டி,Animals
साँप,Snake,सर्प,பாம்பு,Animals
मछली,Fish,मीन,மீன்,Animals
पक्षी,Bird,पक्षी,பறவை,Animals
कौआ,Crow,काक,காகம்,Animals
तोता,Parrot,शुकः,கிளி,Animals
मोर,Peacock,मयूरः,மயில்,Animals
कबूतर,Pigeon,कपोतः,புறா,Animals
मुर्गी,Hen,कुक्कुटः,கோழி,Animals
बत्तख,Duck,कादम्ब,வாத்து,Animals
उल्लू,Owl,उलूक,ஆந்தை,Animals
तितली,Butterfly,चित्रपतङ्ग,பட்டாம்பூச்சி,Animals
मधुमक्खी,Honeybee,मधुमक्षिका,தேனீ,Animals
चींटी,Ant,अन्त,எறும்பு,Animals
मकड़ी,Spider,मकड़ी,சிலந்தி,Animals
मेंढक,Frog,मंडूक,தவளை,Animals
कछुआ,Turtle,कच्छप,ஆமை,Animals
ऊँट,Camel,उष्ट्रः,ஒட்டகம்,Animals
गधा,Donkey,गर्दभ,கழுதை,Animals
जानवर,Animal,पशु,விலங்கு,Animals
खाना,Food,आहारः,உணவு,Food
पानी,Water,जलम्‌,தண்ணீர்,Food
दूध,Milk,दुग्धं,பால்,Food
चाय,Tea,चाय,தேநீர்,Food
कॉफी,Coffee,काफी,காபி,Food
रोटी,Bread,रोटिका,ரொட்டி,Food
चावल,Rice,तांडुलः,அரிசி,Food
दाल,Lentils,मसूरम्,பருப்பு,Food
सब्जी,Vegetable,तरकारी,காய்கறி,Food
फल,Fruit,फलं,பழம்,Food
आम,Mango,आम,மாம்பழம்,Food
केला,Banana,कदल,வாழைப்பழம்,Food
सेब,Apple,सेवफल,ஆப்பிள்,Food
संतरा,Orange fruit,नारङ्गफलम्,ஆரஞ்சு பழம்,Food
अंगूर,Grapes,द्राक्षा,திராட்சை,Food
अनार,Pomegranate,दाडिमम्,மாதுளை,Food
नारियल,Coconut,नारिकेलः,தேங்காய்,Food
आलू,Potato,आलूः,உருளைக்கிழங்கு,Food
प्याज,Onion,पलाण्डु,வெங்காயம்,Food
टमाटर,Tomato,रक्तफल,தக்காளி,Food
गाजर,Carrot,गार्जर,கேரட்,Food
पालक,Spinach,पालकं,கீரை,Food
मिर्च,Chili,मरिचम्,மிளகாய்,Food
नमक,Salt,लवणं,உப்பு,Food
चीनी,Sugar,मधुरं,சர்க்கரை,Food
घी,Clarified butter,स्पष्टं घृतम्,தெளிவுபடுத்தப்பட்ட வெண்ணெய்,Food
तेल,Oil,तेलं,எண்ணெய்,Food
मसाला,Spices,मसालाः,மசாலா,Food
अदरक,Ginger,आर्द्रक,இஞ்சி,Food
लहसुन,Garlic,लशुन,பூண்டு,Food
हल्दी,Turmeric,हरिद्रा,மஞ்சள்,Food
शहद,Honey,मधु,தேன்,Food
दही,Yogurt,दही,தயிர்,Food
मक्खन,Butter,नवनीत,வெண்ணெய்,Food
अंडा,Egg,अंड,முட்டை,Food
मिठाई,Sweets,मिष्टान्नम्,இனிப்புகள்,Food
लड्डू,Laddu,लड्डू,லட்டு,Food
खीर,Rice pudding,तण्डुलपुडिंग,அரிசி புட்டு,Food
नाश्ता,Breakfast,अल्पाहार,காலை உணவு,Food
दोपहर का खाना,Lunch,मध्याह्नभोजनम्‌,மதிய உணவு,Food
रात का खाना,Dinner,रात्रिभोजनम्‌,இரவு உணவு,Food
भूख लगी है,I am hungry,अहं क्षुधार्तः अस्मि,எனக்கு பசிக்கிறது,Food
प्यास लगी है,I am thirsty,अहं तृषितः अस्मि,எனக்கு தாகமாக இருக்கிறது,Food
खाना बहुत स्वादिष्ट है,The food is delicious,भोजनं स्वादिष्टम् अस्ति,உணவு சுவையானது,Food
खाना पकाना,To cook food,भोजनं पाकं कर्तुं,உணவு சமைக்க,Food
आकाश,Sky,गगनः,வானம்,Nature
बादल,Cloud,मेघ,மேகம்,Nature
बारिश,Rain,वृष्टि,மழை,Nature
तूफान,Storm,चण्डवात,புயல்,Nature
बिजली,Lightning,गाज,மின்னல்,Nature
गरज,Thunder,गर्जन,இடி,Nature
इंद्रधनुष,Rainbow,इन्द्रधनुषः,வானவில்,Nature
हवा,Wind,वायुः,காற்று,Nature
गर्मी,Heat,उष्णता,வெப்பம்,Nature
ठंड,Cold,शैत्यम्‌,குளிர்,Nature
बर्फ,Snow,तुषार,பனி,Nature
कोहरा,Fog,धूमिका,மூடுபனி,Nature
धूप,Sunlight,सूर्यप्रकाशः,சூரிய ஒளி,Nature
छाया,Shadow,छाया,நிழல்,Nature
सूरज,Sun,सूर्य,சூரியன்,Nature
चाँद,Moon,शशांक,சந்திரன்,Nature
तारे,Stars,तारा,நட்சத்திரங்கள்,Nature
धरती,Earth,पृथ्वी,பூமி,Nature
आग,Fire,अग्निः,தீ,Nature
मिट्टी,Soil,मृदा,மண்,Nature
नदी,River,नदी,நதி,Nature
झरना,Waterfall,जलप्रपातः,அருவி,Nature
तालाब,Pond,जलाशय,குளம்,Nature
झील,Lake,सरोवरः,ஏரி,Nature
समुद्र,Ocean,समुद्रं,பெருங்கடல்,Nature
लहर,Wave,तरंगं,அலை,Nature
किनारा,Shore,तट,கரை,Nature
रेत,Sand,वालुका,மணல்,Nature
पत्थर,Stone,प्रस्तरं,கல்,Nature
पहाड़,Mountain,पर्वत,மலை,Nature
घाटी,Valley,घाटी,பள்ளத்தாக்கு,Nature
गुफा,Cave,गुहा,குகை,Nature
जंगल,Forest,वनः,காடு,Nature
पेड़,Tree,वृक्षः,மரம்,Nature
पत्ता,Leaf,पर्ण,இலை,Nature
जड़,Root,मूलं,வேர்,Nature
डाल,Branch,शाखा,கிளை,Nature
फूल,Flower,पुष्पं,மலர்,Nature
कमल,Lotus,कमलम्,தாமரை,Nature
गुलाब,Rose,रोज,ரோஜா,Nature
गेंदा,Marigold,मरीगोल्ड्,சாமந்திப்பூ,Nature
चमेली,Jasmine,चमेली,மல்லிகை,Nature
घास,Grass,तृणं,புல்,Nature
बीज,Seed,बीज,விதை,Nature
खेत,Field,क्षेत्रम्‌,களம்,Nature
फसल,Crop,अन्नग्रह,பயிர்,Nature
गेहूँ,Wheat,गोधूम,கோதுமை,Nature
धान,Paddy,धानम्,நெல்,Nature
प्रकृति,Nature,प्रकृति,இயற்கை,Nature
घर,House,गृहम्‌,வீடு,Places
गाँव,Village,ग्राम,கிராமம்,Places
शहर,City,नगरी,நகரம்,Places
देश,Country,देशः,நாடு,Places
भारत,India,भारत,இந்தியா,Places
मुंबई,Mumbai,मुम्बई,மும்பை,Places
सड़क,Road,मार्गं,சாலை,Places
गली,Lane,लेन,லேன்,Places
बाज़ार,Market,विपणि,சந்தை,Places
दुकान,Shop,आपण,கடை,Places
स्कूल,School,विद्यालयः,பள்ளி,Places
कॉलेज,College,महाविद्यालयं,கல்லூரி,Places
पुस्तकालय,Library,पुस्तकालय,நூலகம்,Places
अस्पताल,Hospital,चिकित्सालय,மருத்துவமனை,Places
मंदिर,Temple,मंदिर,கோவில்,Places
मस्जिद,Mosque,मस्जिद,மசூதி,Places
गिरजाघर,Church,चर्च,தேவாலயம்,Places
गुरुद्वारा,Gurudwara,गुरुद्वारा,குருத்வாரா,Places
स्टेशन,Station,स्थानः,நிலையம்,Places
हवाई अड्डा,Airport,वायुपत्तनं,விமான நிலையம்,Places
पुल,Bridge,सेतु,பாலம்,Places
बगीचा,Garden,उद्यान,தோட்டம்,Places
मैदान,Playground,क्रीडाङ्गणम्,விளையாட்டு மைதானம்,Places
कुआँ,Well,कूपः,சரி,Places
आँगन,Courtyard,प्राङ्गणम्,முற்றம்,Places
रसोई,Kitchen,पाकशाला,சமையலறை,Places
कमरा,Room,कक्ष,அறை,Places
दरवाज़ा,Door,द्वारम्,கதவு,Places
खिड़की,Window,कोष्ठ,ஜன்னல்,Places
छत,Roof,छाद,கூரை,Places
दीवार,Wall,भित्ति,சுவர்,Places
सीढ़ी,Stairs,चरणाः,படிக்கட்டுகள்,Places
संग्रहालय,Museum,संग्रहालय,அருங்காட்சியகம்,Places
किला,Fort,दुर्गः,கோட்டை,Places
महल,Palace,प्रासादः,அரண்மனை,Places
बिस्तर,Bed,शय्या,படுக்கை,Daily Life
कुर्सी,Chair,आसन्द,நாற்காலி,Daily Life
मेज़,Table,पीठिका,அட்டவணை,Daily Life
दीपक,Lamp,दीपकः,விளக்கு,Daily Life
लालटेन,Lantern,लालटेन,விளக்கு,Daily Life
पीतल की लालटेन,Brass lantern,पीतले लालटेन,பித்தளை விளக்கு,Daily Life
मोमबत्ती,Candle,मोमबत्ती,மெழுகுவர்த்தி,Daily Life
दर्पण,Mirror,दर्पण,கண்ணாடி,Daily Life
घड़ी,Clock,घटिका,கடிகாரம்,Daily Life
चाबी,Key,कुंजी,முக்கிய,Daily Life
ताला,Lock,ताल,பூட்டு,Daily Life
थैला,Bag,भ्रस्ता,பை,Daily Life
बर्तन,Utensils,पात्रम्,பாத்திரங்கள்,Daily Life
मटका,Clay pot,मृत्तिका घटः,மண் பானை,Daily Life
थाली,Plate,स्थालिका,தட்டு,Daily Life
कटोरी,Bowl,पाल,கிண்ணம்,Daily Life
गिलास,Glass,चषक,கண்ணாடி,Daily Life
चम्मच,Spoon,चमस,கரண்டி,Daily Life
चूल्हा,Stove,चुल्लिका,அடுப்பு,Daily Life
झाड़ू,Broom,ऊहनी,விளக்குமாறு,Daily Life
रस्सी,Rope,रज्जु,கயிறு,Daily Life
टोकरी,Basket,टोकरी,கூடை,Daily Life
कपड़े,Clothes,वस्त्राणि,ஆடைகள்,Daily Life
साड़ी,Saree,साड़ी,சேலை,Daily Life
कुर्ता,Kurta,कुर्ता,குர்தா,Daily Life
धोती,Dhoti,धोती,தோட்டி,Daily Life
दुपट्टा,Scarf,उत्तरीय,தாவணி,Daily Life
जूते,Shoes,पादत्र,காலணிகள்,Daily Life
चप्पल,Slippers,चप्पलम्,செருப்புகள்,Daily Life
टोपी,Hat,हत्,தொப்பி,Daily Life
चश्मा,Spectacles,चश्मा,கண்ணாடிகள்,Daily Life
छाता,Umbrella,छात्र,குடை,Daily Life
गहने,Jewelry,कर्णाभरन,நகைகள்,Daily Life
चूड़ी,Bangle,चूड़ी,வளையல்,Daily Life
अंगूठी,Ring,वर्तुल,மோதிரம்,Daily Life
हार,Necklace,कर्णहार,நெக்லஸ்,Daily Life
किताब,Book,पुस्तकम्‌,புத்தகம்,Daily Life
कलम,Pen,लेखनी,பேனா,Daily Life
पेंसिल,Pencil,अङ्कनी,பென்சில்,Daily Life
कागज़,Paper,पत्रं,காகிதம்,Daily Life
चिट्ठी,Letter,पत्रम्,கடிதம்,Daily Life
तस्वीर,Photo,चित्रं,புகைப்படம்,Daily Life
खिलौना,Toy,खिलौना,பொம்மை,Daily Life
गेंद,Ball,कन्दुक,பந்து,Daily Life
पतंग,Kite,पतंगं,காத்தாடி,Daily Life
साइकिल,Bicycle,द्विचक्रिका,சைக்கிள்,Daily Life
गाड़ी,Car,कारयानम्‌,கார்,Daily Life
बस,Bus,बस,பேருந்து,Daily Life
रेलगाड़ी,Train,रेलयानम्‌,ரயில்,Daily Life
नाव,Boat,नौका,படகு,Daily Life
पैसा,Money,मुद्रा,பணம்,Daily Life
काम,Work,कार्यम्‌,வேலை,Daily Life
आराम,Rest,विश्रान्तिः,ஓய்வு,Daily Life
नींद,Sleep,शयनं करोतु,தூங்கு,Daily Life
सपना,Dream,स्वप्न,கனவு,Daily Life
किसान,Farmer,कृषक,விவசாயி,Professions
शिक्षक,Teacher,अध्यापकः,ஆசிரியர்,Professions
डॉक्टर,Doctor,चिकितसिक,டாக்டர்,Professions
नर्स,Nurse,उपचर,செவிலியர்,Professions
इंजीनियर,Engineer,अभियंता,பொறியாளர்,Professions
वैज्ञानिक,Scientist,वैज्ञानिकाः,விஞ்ஞானி,Professions
छात्र,Student,विद्यार्थी,மாணவர்,Professions
लेखक,Writer,लेखकः,எழுத்தாளர்,Professions
कवि,Poet,कवि,கவிஞர்,Professions
गायक,Singer,गायकः,பாடகர்,Professions
नर्तक,Dancer,नर्तकी,நடனக் கலைஞர்,Professions
कलाकार,Artist,कलाकार,கலைஞர்,Professions
चित्रकार,Painter,चित्रकार,ஓவியர்,Professions
संगीतकार,Musician,संगीतकार,இசைக்கலைஞர்,Professions
कहानीकार,Storyteller,कथाकार,கதைசொல்லி,Professions
बढ़ई,Carpenter,तक्षक,தச்சர்,Professions
लोहार,Blacksmith,लोहारः,கொல்லன்,Professions
कुम्हार,Potter,कुम्भकारः,குயவன்,Professions
बुनकर,Weaver,बुनकर,நெசவாளர்,Professions
दर्जी,Tailor,दर्जी,தையல்காரர்,Professions
मछुआरा,Fisherman,मत्स्यजीवी,மீனவர்,Professions
चरवाहा,Shepherd,गोपालकः,மேய்ப்பன்,Professions
व्यापारी,Merchant,वणिक्‌,வணிகர்,Professions
दुकानदार,Shopkeeper,दुकानदार,கடைக்காரர்,Professions
रसोइया,Cook,पचति,சமைக்கவும்,Professions
माली,Gardener,माली,தோட்டக்காரர்,Professions
सिपाही,Soldier,भट,சிப்பாய்,Professions
राजा,King,राजा,அரசன்,Professions
रानी,Queen,राज्ञी,ராணி,Professions
संत,Saint,संत,புனிதர்,Professions
पुजारी,Priest,पुरोहित,பாதிரியார்,Professions
विद्वान,Scholar,विद्वान,அறிஞர்,Professions
नेता,Leader,नेता,தலைவர்,Professions
खिलाड़ी,Player,खिलाडी,வீரர்,Professions
आना,To come,आगन्तुम्,வர,Actions
जाना,To go,गन्तुं,செல்ல,Actions
खाना खाना,To eat,खादितुम्,சாப்பிடுவதற்கு,Actions
पीना,To drink,पिबितुं,குடிக்க,Actions
सोना,To sleep,निद्रां कर्तुं,தூங்குவதற்கு,Actions
जागना,To wake up,जागरणार्थम्,எழுந்திருக்க,Actions
उठना,To get up,उत्थाय,எழுவதற்கு,Actions
बैठना,To sit,उपविष्टुं,உட்கார,Actions
खड़ा होना,To stand,स्थातुं,நிற்க,Actions
चलना,To walk,चलितुं,நடக்க,Actions
दौड़ना,To run,धावितुं,ஓடுவதற்கு,Actions
रुकना,To stop,निवर्तयितुं,நிறுத்த,Actions
कूदना,To jump,कूर्दितुं,குதிக்க,Actions
तैरना,To swim,तरितुं,நீந்த வேண்டும்,Actions
उड़ना,To fly,उड्डीयन्ते इति,பறக்க,Actions
गिरना,To fall,पतनम्,விழ,Actions
देखना,To see,द्रष्टुं,பார்க்க,Actions
सुनना,To listen,श्रोतुं,கேட்க,Actions
बोलना,To speak,वक्तुं,பேசுவதற்கு,Actions
कहना,To say,वक्तुं,சொல்வதற்கு,Actions
पूछना,To ask,पृच्छितुं,கேட்பதற்கு,Actions
बताना,To tell,कथयितुं,சொல்ல,Actions
पढ़ना,To read,पठितुं,படிக்க,Actions
लिखना,To write,लेखनार्थम्,எழுதுவதற்கு,Actions
सीखना,To learn,शिक्षितुं,கற்றுக்கொள்ள,Actions
सिखाना,To teach,पाठयितुं,கற்பிக்க,Actions
समझना,To understand,अवगन्तुम्,புரிந்து கொள்ள,Actions
सोचना,To think,चिन्तयितुं,சிந்திக்க,Actions
