hindi_phrase,english_translation,sanskrit_translation,tamil_translation,odia_translation,category
मैं ठीक हूँ,I am fine,अहं कुशलं अस्मि,நான் நன்றாக இருக்கிறேன்,ମୁଁ ଭଲ ଅଛି,Greetings
आप कैसे हैं,How are you formal,कथं त्वं औपचारिकः असि,எப்படி ஃபார்மல்,ତୁମେ କିପରି ଆନୁଷ୍ଠାନିକ?,Greetings
बहुत अच्छा,Very good,अति उत्तम,மிகவும் நல்லது,ବହୁତ ଭଲ,Greetings
मुझे खुशी हुई,Nice to meet you,मेलनेन बहु सन्तोषः,உங்களை சந்தித்ததில் மகிழ்ச்சி,ତୁମକୁ ଭେଟି ଭଲ ଲାଗିଲା |,Greetings
आपसे मिलकर अच्छा लगा,It was nice meeting you,भवता सह मिलित्वा आनन्दः अभवत्,உங்களை சந்தித்ததில் மகிழ்ச்சியாக இருந்தது,ତୁମକୁ ଭେଟିବା ଭଲ ଲାଗିଲା |,Greetings
मेरा नाम है,My name is,मम नाम अस्ति,என் பெயர்,ମୋର ନାମ ହେଉଛି,Greetings
आपका नाम क्या है,What is your name,भवतः नाम किमस्ति,உங்கள் பெயர் என்ன,ତୁମର ନାମ କଣ?,Greetings
मैं भारत से हूँ,I am from India,अहं भारतस्य अस्मि,நான் இந்தியாவைச் சேர்ந்தவன்,ମୁଁ ଭାରତର,Greetings
आप कहाँ से हैं,Where are you from,भवान्‌ कुतः अस्ति,நீங்கள் எங்கிருந்து வருகிறீர்கள்,ଆପଣ କେଉଁଠାରୁ ଆସିଛନ୍ତି,Greetings
मुझे हिंदी आती है,I know Hindi,अहं हिन्दीभाषां जानामि,எனக்கு ஹிந்தி தெரியும்,ମୁଁ ହିନ୍ଦୀ ଜାଣେ |,Greetings
मुझे थोड़ी हिंदी आती है,I know a little Hindi,अहं किञ्चित् हिन्दीभाषां जानामि,எனக்கு கொஞ்சம் ஹிந்தி தெரியும்,ମୁଁ ଟିକିଏ ହିନ୍ଦୀ ଜାଣେ |,Greetings
धीरे बोलिए,Please speak slowly,कृपया मन्दं वदतु,தயவுசெய்து மெதுவாக பேசுங்கள்,ଦୟାକରି ଧୀରେ ଧୀରେ କୁହନ୍ତୁ |,Greetings
फिर से कहिए,Please say again,कृपया पुनः वदतु,மீண்டும் சொல்லுங்கள்,ଦୟାକରି ପୁନର୍ବାର କୁହନ୍ତୁ |,Greetings
मैं समझ गया,I understood,अहं अवगच्छामि स्म,புரிந்து கொண்டேன்,ମୁଁ ବୁ understood ିଲି,Greetings
मैं नहीं समझा,I did not understand,अहं न अवगच्छामि स्म,எனக்குப் புரியவில்லை,ମୁଁ ବୁ understand ି ପାରିଲି ନାହିଁ,Greetings
एक,One,एकम्‌,ஒன்று,ଗୋଟିଏ |,Numbers
दो,Two,द्वि,இரண்டு,ଦୁଇଟି,Numbers
तीन,Three,त्रयः,மூன்று,ତିନି,Numbers
चार,Four,चतुः,நான்கு,ଚାରି,Numbers
पाँच,Five,पंचं,ஐந்து,ପାଞ୍ଚ,Numbers
छह,Six,षष्टं,ஆறு,ଛଅ,Numbers
सात,Seven,सप्त,ஏழு,ସାତ,Numbers
आठ,Eight,अष्ट,எட்டு,ଆଠ,Numbers
नौ,Nine,नवं,ஒன்பது,ନଅ,Numbers
दस,Ten,दशम,பத்து,ଦଶ,Numbers
ग्यारह,Eleven,एकादशं,பதினோரு,ଏକାଦଶ,Numbers
बारह,Twelve,द्विदशकं,பன்னிரண்டு,ବାର,Numbers
तेरह,Thirteen,त्रयोदश,பதின்மூன்று,ତେର,Numbers
चौदह,Fourteen,चतुर्दश,பதினான்கு,ଚଉଦ,Numbers
पंद्रह,Fifteen,पञ्चदश,பதினைந்து,ପନ୍ଦର,Numbers
सोलह,Sixteen,षोडशन्,பதினாறு,ଷୋହଳ,Numbers
सत्रह,Seventeen,सप्तदश,பதினேழு,ସତର,Numbers
अठारह,Eighteen,अष्टदश,பதினெட்டு,ଅଷ୍ଟାଦଶ,Numbers
उन्नीस,Nineteen,एकोनविम्शति,பத்தொன்பது,In ନବିଂଶ,Numbers
बीस,Twenty,विंशति,இருபது,କୋଡ଼ିଏ,Numbers
पच्चीस,Twenty five,पञ्चविंशतिः,இருபத்தி ஐந்து,ପଚିଶ,Numbers
तीस,Thirty,त्रिंशत्,முப்பது,ତିରିଶ,Numbers
पैंतीस,Thirty five,पञ्चत्रिंशत्,முப்பத்தி ஐந்து,ପଚିଶଟି,Numbers
चालीस,Forty,चत्वारिंशत्,நாற்பது,ଚାଳିଶ,Numbers
पैंतालीस,Forty five,पञ्चचत्वारिंशत्,நாற்பத்தி ஐந்து,ଚାଳିଶ ଜଣ,Numbers
पचास,Fifty,पञ्चाशा,ஐம்பது,ପଚାଶ,Numbers
साठ,Sixty,षष्टि,அறுபது,ଷାଠିଏ,Numbers
सत्तर,Seventy,सप्तति,எழுபது,ସତୁରି,Numbers
अस्सी,Eighty,अशीति,எண்பது,ଅଶୀ,Numbers
नब्बे,Ninety,नवति,தொண்ணூறு,ନବେ ଦଶକ |,Numbers
सौ,One hundred,शतं,நூறு,ଶହେ,Numbers
हज़ार,One thousand,सहस्रम्,ஆயிரம்,ଏକ ହଜାର,Numbers
लाख,One hundred thousand,लक्षम्,ஒரு லட்சம்,ଏକ ଶହ ହଜାର,Numbers
करोड़,Ten million,कोटिः,பத்து மில்லியன்,ଦଶ ଲକ୍ଷ,Numbers
पहला,First,प्रथमः,முதலில்,ପ୍ରଥମେ,Numbers
दूसरा,Second,क्षण,இரண்டாவது,ଦ୍ୱିତୀୟ |,Numbers
तीसरा,Third,तृतीयं,மூன்றாவது,ତୃତୀୟ |,Numbers
आधा,Half,अर्ध,பாதி,ଅଧା,Numbers
पूरा,Full,पूर्ण,முழு,ପୂର୍ଣ୍ଣ,Numbers
कुछ,Some,केचन,சில,କେତେକ,Numbers
बहुत,Many,बहवः,பல,ଅନେକ |,Numbers
थोड़ा,A little,तनिक,கொஞ்சம்,ଟିକିଏ,Numbers
सब,All,सर्वे,அனைத்து,ସମସ୍ତ,Numbers
कुछ नहीं,Nothing,किमपि न,ஒன்றுமில்லை,କିଛି ନୁହେଁ |,Numbers
सोमवार,Monday,सोमवारं,திங்கட்கிழமை,ସୋମବାର |,Time
मंगलवार,Tuesday,मङ्गलवारः,செவ்வாய்,ମଙ୍ଗଳବାର |,Time
बुधवार,Wednesday,बुधवारः,புதன்,ବୁଧବାର,Time
गुरुवार,Thursday,बृहस्पतिवारः,வியாழன்,ଗୁରୁବାର |,Time
शुक्रवार,Friday,शुक्रवारं,வெள்ளிக்கிழமை,ଶୁକ୍ରବାର |,Time
शनिवार,Saturday,शनिवारं,சனிக்கிழமை,ଶନିବାର |,Time
रविवार,Sunday,रविवारं,ஞாயிறு,ରବିବାର |,Time
आज,Today,अद्य,இன்று,ଆଜି |,Time
कल,Tomorrow,श्वः,நாளை,ଆସନ୍ତାକାଲି |,Time
बीता हुआ कल,Yesterday,ह्यः,நேற்று,ଗତକାଲି,Time
परसों,Day after tomorrow,श्वः परदिनम्,நாளை மறுநாள்,ଆସନ୍ତାକାଲି,Time
अभी,Now,अधुना,இப்போது,ବର୍ତ୍ତମାନ,Time
बाद में,Later,कालान्तरे,பின்னர்,ପରେ,Time
जल्दी,Early,शीघ्रम्‌,ஆரம்ப,ଶୀଘ୍ର,Time
देर से,Late,विलम्बेन,தாமதமானது,ବିଳମ୍ବ,Time
सुबह,Morning,प्रातः,காலை,ପ୍ରଭାତ,Time
दोपहर,Noon,अपराह्न,நண்பகல்,ମଧ୍ୟାହ୍ନ,Time
शाम,Evening,सायंकालः,மாலை,ସନ୍ଧ୍ୟା |,Time
रात,Night,निशा,இரவு,ରାତି,Time
भोर,Dawn,प्रदोषः,விடியல்,ପ୍ରଭାତ,Time
आधी रात,Midnight,मध्यरात्री,நள்ளிரவு,ମଧ୍ୟରାତ୍ରି |,Time
दिन,Day,दिनं,நாள்,ଦିନ,Time
सप्ताह,Week,सप्ताहः,வாரம்,ସପ୍ତାହ,Time
महीना,Month,माह,மாதம்,ମାସ,Time
साल,Year,वर्ष,ஆண்டு,ବର୍ଷ,Time
घंटा,Hour,घटकः,மணி,ଘଣ୍ଟା |,Time
मिनट,Minute,क्षणं,நிமிடம்,ମିନିଟ୍ |,Time
पल,Moment,क्षण,கணம்,ମୁହୂର୍ତ୍ତ,Time
समय,Time,कालः,நேரம்,ସମୟ,Time
समय क्या हुआ है,What time is it,कः कालः,மணி என்ன,ଏହା କେତେ ସମୟ |,Time
गर्मी का मौसम,Summer season,ग्रीष्मकालः,கோடை காலம்,ଗ୍ରୀଷ୍ମ season ତୁ |,Time
सर्दी का मौसम,Winter season,शिशिरस्य ऋतुः,குளிர்காலம்,ଶୀତ season ତୁ |,Time
बरसात का मौसम,Rainy season,वर्षाऋतुः,மழைக்காலம்,ବର୍ଷା season ତୁ |,Time
वसंत ऋतु,Spring season,वसन्तऋतुः,வசந்த காலம்,ବସନ୍ତ season ତୁ |,Time
हर दिन,Every day,प्रतिदिनं,ஒவ்வொரு நாளும்,ପ୍ରତ୍ୟେକ ଦିନ |,Time
हर साल,Every year,प्रतिवर्षम्,ஒவ்வொரு வருடமும்,ପ୍ରତିବର୍ଷ |,Time
कभी कभी,Sometimes,कदाचित्‌,சில சமயம்,ବେଳେବେଳେ |,Time
हमेशा,Always,सर्वदा,எப்போதும்,ସର୍ବଦା |,Time
कभी नहीं,Never,कदापि न,ஒருபோதும் இல்லை,କଦାପି ନୁହେଁ |,Time
लाल,Red,रक्त,சிவப்பு,ଲାଲ୍ |,Colors
नीला,Blue,नील,நீலம்,ନୀଳ,Colors
पीला,Yellow,पीतं,மஞ்சள்,ହଳଦିଆ,Colors
हरा,Green,हरित,பச்சை,ସବୁଜ,Colors
काला,Black,कृष्णः,கருப்பு,କଳା,Colors
सफेद,White,श्वेतः,வெள்ளை,ଧଳା |,Colors
गुलाबी,Pink,पाटल,இளஞ்சிவப்பு,ଗୋଲାପୀ |,Colors
नारंगी,Orange color,नारङ्गवर्णः,ஆரஞ்சு நிறம்,କମଳା ରଙ୍ଗ |,Colors
बैंगनी,Purple,शोण,ஊதா,ବାଇଗଣୀ |,Colors
भूरा,Brown,पिङ्गल,பழுப்பு,ବ୍ରାଉନ୍,Colors
सुनहरा,Golden,स्वर्णम्,தங்கம்,ସୁବର୍ଣ୍ଣ |,Colors
चाँदी जैसा,Silver,रजत,வெள்ளி,ରୂପା |,Colors
गहरा रंग,Dark color,कृष्णवर्णः,அடர் நிறம்,ଗା ark ରଙ୍ଗ |,Colors
हल्का रंग,Light color,लघुवर्णः,வெளிர் நிறம்,ହାଲୁକା ରଙ୍ଗ |,Colors
रंग बिरंगा,Colorful,रङ्गिणी,வண்ணமயமான,ରଙ୍ଗୀନ,Colors
सिर,Head,शिरः,தலை,ମୁଣ୍ଡ,Body
बाल,Hair,केशः,முடி,କେଶ,Body
आँख,Eye,नेत्र,கண்,ଆଖି,Body
कान,Ear,कर्ण,காது,କାନ |,Body
नाक,Nose,नासिका,மூக்கு,ନାକ,Body
मुँह,Mouth,मुख,வாய்,ପାଟି,Body
दाँत,Teeth,दंत,பற்கள்,ଦାନ୍ତ,Body
जीभ,Tongue,जिह्वा,நாக்கு,ଭାଷା,Body
गला,Throat,कण्ठ,தொண்டை,ଗଳା,Body
गर्दन,Neck,ग्रीवा,கழுத்து,ବେକ,Body
कंधा,Shoulder,स्कन्ध,தோள்பட்டை,କାନ୍ଧ,Body
हाथ,Hand,हस्त,கை,ହାତ,Body
उँगली,Finger,अङ्गुली,விரல்,ଆଙ୍ଗୁଠି |,Body
पेट,Stomach,उदर,வயிறு,ପେଟ,Body
पीठ,Back,पृष्ठभागः,மீண்டும்,ପଛକୁ,Body
पैर,Leg,टङ्का,கால்,ଗୋଡ |,Body
घुटना,Knee,जानुक,முழங்கால்,ଆଣ୍ଠୁ,Body
दिल,Heart,हृदयम्‌,இதயம்,ହୃଦୟ,Body
दिमाग,Brain,मस्तिष्क,மூளை,ମସ୍ତିଷ୍କ,Body
खून,Blood,रक्त,இரத்தம்,ରକ୍ତ,Body
हड्डी,Bone,अस्थि,எலும்பு,ଅସ୍ଥି,Body
त्वचा,Skin,चर्म,தோல்,ଚର୍ମ,Body
आवाज़,Voice,ध्वनि,குரல்,ସ୍ୱର,Body
साँस,Breath,श्वशन,மூச்சு,ନିଶ୍ୱାସ,Body
मुस्कान,Smile,स्मितः,புன்னகை,ହସ |,Body
माता,Mother,माता,அம்மா,ମା,Family
पिता,Father,पिता,அப்பா,ପିତା,Family
माँ,Mom,माता,அம்மா,ମା,Family
पापा,Dad,पिता,அப்பா,ବାପା,Family
भाई,Brother,भ्राता,அண்ணன்,ଭାଇ,Family
बहन,Sister,भगिनी,சகோதரி,ଭଉଣୀ |,Family
बड़ा भाई,Elder brother,अग्रजः,மூத்த சகோதரர்,ବଡ ଭାଇ,Family
छोटी बहन,Younger sister,अनुज भगिनी,இளைய சகோதரி,ସାନ ଭଉଣୀ |,Family
दादा,Grandfather,पितामहः,தாத்தா,ଦାଦା,Family
दादी,Grandmother,पितामही,பாட்டி,ଜେଜେମା,Family
नाना,Maternal grandfather,मातृपितामहः,தாய்வழி தாத்தா,ମାତୃ ଦାଦା |,Family
नानी,Maternal grandmother,मातृपितामही,தாய்வழி பாட்டி,ମାତା ଜେଜେମା |,Family
बेटा,Son,पुत्रः,மகன்,ପୁଅ,Family
बेटी,Daughter,पुत्री,மகள்,Ughter ିଅ,Family
पति,Husband,भर्ता,கணவன்,ସ୍ୱାମୀ,Family
पत्नी,Wife,भार्या,மனைவி,ପତ୍ନୀ,Family
चाचा,Paternal uncle,पितृक मामा,பாட்டன் மாமா,ପିତାମହ,Family
चाची,Paternal aunt,पितृक माकी,தந்தைவழி அத்தை,ପିତାମହ,Family
मामा,Maternal uncle,मातुलः,தாய்வழி மாமன்,ମାତା ମାମୁଁ |,Family
मामी,Maternal aunt,मातृका माकी,தாய்வழி அத்தை,ମାତୃ ମାଉସୀ |,Family
भतीजा,Nephew,भ्रातृ सूतः,மருமகன்,ଜ୍ୱାଇଁ |,Family
भतीजी,Niece,भातृजा,மருமகள்,ଭଣଜା,Family
पोता,Grandson,पौत्रः,பேரன்,ନାତି |,Family
पोती,Granddaughter,पौत्री,பேத்தி,ନାତୁଣୀ,Family
परिवार,Family,परिवारं,குடும்பம்,ପରିବାର,Family
रिश्तेदार,Relatives,संबंधीजनाः,உறவினர்கள்,ସମ୍ପର୍କୀୟ,Family
पड़ोसी,Neighbor,प्रतिवेशी,பக்கத்து வீட்டுக்காரர்,ପଡୋଶୀ,Family
दोस्त,Friend,मित्रम्,நண்பர்,ବନ୍ଧୁ,Family
सबसे अच्छा दोस्त,Best friend,परम मित्रम्,சிறந்த நண்பர்,ସର୍ବୋତ୍ତମ ବନ୍ଧୁ |,Family
मेहमान,Guest,अतिथि,விருந்தினர்,ଅତିଥି,Family
कुत्ता,Dog,कुक्कुरः,நாய்,କୁକୁର,Animals
बिल्ली,Cat,मार्जारः,பூனை,ବିଲେଇ,Animals
गाय,Cow,गो,பசு,ଗା ow,Animals
भैंस,Buffalo,महिषः,எருமை,ବଫାଲୋ |,Animals
बकरी,Goat,अजा,ஆடு,ଛେଳି,Animals
भेड़,Sheep,मेष,ஆடு,ମେଷ,Animals
घोड़ा,Horse,घोटकः,குதிரை,ଘୋଡା,Animals
हाथी,Elephant,गज,யானை,ହାତୀ,Animals
शेर,Lion,सिंहः,சிங்கம்,ସିଂହ,Animals
बाघ,Tiger,व्याघ्रः,புலி,ଟାଇଗର,Animals
बंदर,Monkey,वानरः,குரங்கு,ମାଙ୍କଡ଼,Animals
भालू,Bear,भल्लूकः,கரடி,ଭାଲୁ,Animals
हिरण,Deer,मृग,மான்,ହରିଣ,Animals
लोमड़ी,Fox,लोमशा,நரி,ଫକ୍ସ,Animals
खरगोश,Rabbit,शशकः,முயல்,ରାବଣ,Animals
चूहा,Mouse,मूषकः,சுட்டி,ମାଉସ୍,Animals
साँप,Snake,सर्प,பாம்பு,ସାପ,Animals
मछली,Fish,मीन,மீன்,ମାଛ |,Animals
पक्षी,Bird,पक्षी,பறவை,ପକ୍ଷୀ,Animals
कौआ,Crow,काक,காகம்,କାଉ,Animals
तोता,Parrot,शुकः,கிளி,ପାରା,Animals
मोर,Peacock,मयूरः,மயில்,ମୟୂର,Animals
कबूतर,Pigeon,कपोतः,புறா,କପୋତ,Animals
मुर्गी,Hen,कुक्कुटः,கோழி,ହେନ୍,Animals
बत्तख,Duck,कादम्ब,வாத்து,ଡକ୍ |,Animals
उल्लू,Owl,उलूक,ஆந்தை,ଓଳ,Animals
तितली,Butterfly,चित्रपतङ्ग,பட்டாம்பூச்சி,ପ୍ରଜାପତି,Animals
मधुमक्खी,Honeybee,मधुमक्षिका,தேனீ,ମଧୁମେହ,Animals
चींटी,Ant,अन्त,எறும்பு,ପିମ୍ପୁଡ଼ି,Animals
मकड़ी,Spider,मकड़ी,சிலந்தி,ସ୍ପାଇଡର୍ |,Animals
मेंढक,Frog,मंडूक,தவளை,ବେଙ୍ଗ,Animals
कछुआ,Turtle,कच्छप,ஆமை,କଇଁଛ |,Animals
ऊँट,Camel,उष्ट्रः,ஒட்டகம்,ଓଟ,Animals
गधा,Donkey,गर्दभ,கழுதை,ଗଧ,Animals
जानवर,Animal,पशु,விலங்கு,ପଶୁ,Animals
खाना,Food,आहारः,உணவு,ଖାଦ୍ୟ,Food
पानी,Water,जलम्‌,தண்ணீர்,ଜଳ,Food
दूध,Milk,दुग्धं,பால்,କ୍ଷୀର,Food
चाय,Tea,चाय,தேநீர்,ଚା,Food
कॉफी,Coffee,काफी,காபி,କଫି |,Food
रोटी,Bread,रोटिका,ரொட்டி,ରୁଟି |,Food
चावल,Rice,तांडुलः,அரிசி,ଚାଉଳ |,Food
दाल,Lentils,मसूरम्,பருப்பு,ମସୁର ଡାଲି |,Food
सब्जी,Vegetable,तरकारी,காய்கறி,ପନିପରିବା |,Food
फल,Fruit,फलं,பழம்,ଫଳ,Food
आम,Mango,आम,மாம்பழம்,ଆମ୍ବ |,Food
केला,Banana,कदल,வாழைப்பழம்,ବାନା |,Food
सेब,Apple,सेवफल,ஆப்பிள்,ଆପଲ୍ |,Food
संतरा,Orange fruit,नारङ्गफलम्,ஆரஞ்சு பழம்,କମଳା ଫଳ |,Food
अंगूर,Grapes,द्राक्षा,திராட்சை,ଅଙ୍ଗୁର,Food
अनार,Pomegranate,दाडिमम्,மாதுளை,ଡାଳିମ୍ବ,Food
नारियल,Coconut,नारिकेलः,தேங்காய்,ନଡ଼ିଆ |,Food
आलू,Potato,आलूः,உருளைக்கிழங்கு,ଆଳୁ |,Food
प्याज,Onion,पलाण्डु,வெங்காயம்,ପିଆଜ |,Food
टमाटर,Tomato,रक्तफल,தக்காளி,ଟମାଟୋ |,Food
गाजर,Carrot,गार्जर,கேரட்,ଗାଜର |,Food
पालक,Spinach,पालकं,கீரை,ପାଳଙ୍ଗ |,Food
मिर्च,Chili,मरिचम्,மிளகாய்,ଚିଲି,Food
नमक,Salt,लवणं,உப்பு,ଲୁଣ,Food
चीनी,Sugar,मधुरं,சர்க்கரை,ଚିନି,Food
घी,Clarified butter,स्पष्टं घृतम्,தெளிவுபடுத்தப்பட்ட வெண்ணெய்,ସ୍ପଷ୍ଟ ବଟର,Food
तेल,Oil,तेलं,எண்ணெய்,ତେଲ |,Food
मसाला,Spices,मसालाः,மசாலா,ମସଲା |,Food
अदरक,Ginger,आर्द्रक,இஞ்சி,ଅଦା,Food
लहसुन,Garlic,लशुन,பூண்டு,ରସୁଣ |,Food
हल्दी,Turmeric,हरिद्रा,மஞ்சள்,କଦଳୀ,Food
शहद,Honey,मधु,தேன்,ମହୁ,Food
दही,Yogurt,दही,தயிர்,ଦହି,Food
मक्खन,Butter,नवनीत,வெண்ணெய்,ବଟର |,Food
अंडा,Egg,अंड,முட்டை,ଅଣ୍ଡା,Food
मिठाई,Sweets,मिष्टान्नम्,இனிப்புகள்,ମିଠା,Food
लड्डू,Laddu,लड्डू,லட்டு,ଲଡୁ |,Food
खीर,Rice pudding,तण्डुलपुडिंग,அரிசி புட்டு,ଚାଉଳ କଦଳୀ |,Food
नाश्ता,Breakfast,अल्पाहार,காலை உணவு,ଜଳଖିଆ,Food
दोपहर का खाना,Lunch,मध्याह्नभोजनम्‌,மதிய உணவு,ମଧ୍ୟାହ୍ନ ଭୋଜନ,Food
रात का खाना,Dinner,रात्रिभोजनम्‌,இரவு உணவு,ରାତ୍ରୀ ଭୋଜନ,Food
भूख लगी है,I am hungry,अहं क्षुधार्तः अस्मि,எனக்கு பசிக்கிறது,ମୁଁ ଭୋକିଲା ଅଛି,Food
प्यास लगी है,I am thirsty,अहं तृषितः अस्मि,எனக்கு தாகமாக இருக்கிறது,ମୁଁ ତୃଷାର୍ତ୍ତ,Food
खाना बहुत स्वादिष्ट है,The food is delicious,भोजनं स्वादिष्टम् अस्ति,உணவு சுவையானது,ଖାଦ୍ୟ ସ୍ୱାଦିଷ୍ଟ ଅଟେ |,Food
खाना पकाना,To cook food,भोजनं पाकं कर्तुं,உணவு சமைக்க,ଖାଦ୍ୟ ରାନ୍ଧିବା ପାଇଁ |,Food
आकाश,Sky,गगनः,வானம்,ଆକାଶ |,Nature
बादल,Cloud,मेघ,மேகம்,ମେଘ,Nature
बारिश,Rain,वृष्टि,மழை,ବର୍ଷା,Nature
तूफान,Storm,चण्डवात,புயல்,Orm ଡ,Nature
बिजली,Lightning,गाज,மின்னல்,ବଜ୍ରପାତ,Nature
गरज,Thunder,गर्जन,இடி,ବଜ୍ରପାତ,Nature
इंद्रधनुष,Rainbow,इन्द्रधनुषः,வானவில்,ଇନ୍ଦ୍ରଧନୁ,Nature
हवा,Wind,वायुः,காற்று,ପବନ,Nature
गर्मी,Heat,उष्णता,வெப்பம்,ଉତ୍ତାପ,Nature
ठंड,Cold,शैत्यम्‌,குளிர்,ଥଣ୍ଡା,Nature
बर्फ,Snow,तुषार,பனி,ତୁଷାର,Nature
कोहरा,Fog,धूमिका,மூடுபனி,କୁହୁଡି,Nature
धूप,Sunlight,सूर्यप्रकाशः,சூரிய ஒளி,ସୂର୍ଯ୍ୟକିରଣ |,Nature
छाया,Shadow,छाया,நிழல்,ଛାୟା |,Nature
सूरज,Sun,सूर्य,சூரியன்,ସୂର୍ଯ୍ୟ |,Nature
चाँद,Moon,शशांक,சந்திரன்,ଚନ୍ଦ୍ର,Nature
तारे,Stars,तारा,நட்சத்திரங்கள்,ତାରା,Nature
धरती,Earth,पृथ्वी,பூமி,ପୃଥିବୀ,Nature
आग,Fire,अग्निः,தீ,ଅଗ୍ନି,Nature
मिट्टी,Soil,मृदा,மண்,ମୃତ୍ତିକା |,Nature
नदी,River,नदी,நதி,ନଦୀ,Nature
झरना,Waterfall,जलप्रपातः,அருவி,ଜଳପ୍ରପାତ,Nature
तालाब,Pond,जलाशय,குளம்,ପୋଖରୀ,Nature
झील,Lake,सरोवरः,ஏரி,ହ୍ରଦ,Nature
समुद्र,Ocean,समुद्रं,பெருங்கடல்,ମହାସାଗର,Nature
लहर,Wave,तरंगं,அலை,ତରଙ୍ଗ,Nature
किनारा,Shore,तट,கரை,କୂଳ,Nature
रेत,Sand,वालुका,மணல்,ବାଲି,Nature
पत्थर,Stone,प्रस्तरं,கல்,ପଥର |,Nature
पहाड़,Mountain,पर्वत,மலை,ପର୍ବତ,Nature
घाटी,Valley,घाटी,பள்ளத்தாக்கு,ଉପତ୍ୟକା,Nature
गुफा,Cave,गुहा,குகை,ଗୁମ୍ଫା,Nature
जंगल,Forest,वनः,காடு,ଜଙ୍ଗଲ,Nature
पेड़,Tree,वृक्षः,மரம்,ବୃକ୍ଷ,Nature
पत्ता,Leaf,पर्ण,இலை,ପତ୍ର |,Nature
जड़,Root,मूलं,வேர்,ମୂଳ,Nature
डाल,Branch,शाखा,கிளை,ଶାଖା,Nature
फूल,Flower,पुष्पं,மலர்,ଫୁଲ |,Nature
कमल,Lotus,कमलम्,தாமரை,ଲୋଟସ୍ |,Nature
गुलाब,Rose,रोज,ரோஜா,ଗୋଲାପ |,Nature
गेंदा,Marigold,मरीगोल्ड्,சாமந்திப்பூ,ମାରିଗୋଲ୍ଡ |,Nature
चमेली,Jasmine,चमेली,மல்லிகை,ଜସ୍ମିନ୍ |,Nature
घास,Grass,तृणं,புல்,ଘାସ |,Nature
बीज,Seed,बीज,விதை,ବିହନ,Nature
खेत,Field,क्षेत्रम्‌,களம்,କ୍ଷେତ୍ର,Nature
फसल,Crop,अन्नग्रह,பயிர்,ଫସଲ,Nature
गेहूँ,Wheat,गोधूम,கோதுமை,ଗହମ |,Nature
धान,Paddy,धानम्,நெல்,ଧାନ,Nature
प्रकृति,Nature,प्रकृति,இயற்கை,ପ୍ରକୃତି,Nature
घर,House,गृहम्‌,வீடு,ଘର,Places
गाँव,Village,ग्राम,கிராமம்,ଗାଁ,Places
शहर,City,नगरी,நகரம்,ସହର,Places
देश,Country,देशः,நாடு,ଦେଶ,Places
भारत,India,भारत,இந்தியா,ଭାରତ,Places
मुंबई,Mumbai,मुम्बई,மும்பை,ମୁମ୍ବାଇ |,Places
सड़क,Road,मार्गं,சாலை,ରାସ୍ତା,Places
गली,Lane,लेन,லேன்,ଗାଡ଼ି,Places
बाज़ार,Market,विपणि,சந்தை,ବଜାର,Places
दुकान,Shop,आपण,கடை,ଦୋକାନ କରନ୍ତୁ |,Places
स्कूल,School,विद्यालयः,பள்ளி,ବିଦ୍ୟାଳୟ,Places
कॉलेज,College,महाविद्यालयं,கல்லூரி,କଲେଜ,Places
